---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|DATE_TIME        |WEEK   |DAY|DATE_     |TIME    |HOUR|EVENT                             |WAITED_SECONDS|WAITED_MINUTES|WAITED_HOURS|ACTIVE_SESSIONS|WAITS  |AVG_MS    |INST_ID|OBJECT_NAMES                                                                                                                                               |
|2019-05-09  05 ->|2019-19|Thu|2019-05-09|05:00:00|05  |OTHER                             |         4.961|            83|1.38        |1.37           |       |          |      1|                                                                                                                                                           |
|2019-05-09  05 ->|2019-19|Thu|2019-05-09|05:00:00|05  |CPU                               |         3.972|            66|1.1         |1.1            |       |          |      1|                                                                                                                                                           |
|2019-05-09  05 ->|2019-19|Thu|2019-05-09|05:00:00|05  |NETWORK                           |         1.548|            26|.43         |.43            |3869847|.4        |      1|                                                                                                                                                           |
|2019-05-09  04 ->|2019-19|Thu|2019-05-09|04:00:00|04  |NETWORK                           |         1.125|            19|.31         |.31            |2812004|.4        |      1|                                                                                                                                                           |
|2019-05-09  04 ->|2019-19|Thu|2019-05-09|04:00:00|04  |CPU                               |           806|            13|.22         |.22            |       |          |      1|RSSTATMANPSA,9754832,22%;/BI0/HPLANT~0,4953776,11%;/BI0/HPLANT,3550256,8%;/BI0/IPLANT~001,2847104,6%;TBTCO,2799744,6%                                      |
|2019-05-09  04 ->|2019-19|Thu|2019-05-09|04:00:00|04  |log file sync                     |           536|             9|.15         |.15            |74063  |7.24      |      1|/BI0/HPLANT,3233504,35%;/BI0/HPLANT~0,1658784,18%;/BI0/IPLANT,1584816,17%;/BI0/IPLANT~001,1062064,11%;/BI0/HPLANT~PAR,686752,7%                            |
|2019-05-09  04 ->|2019-19|Thu|2019-05-09|04:00:00|04  |OTHER                             |           225|             4|.06         |.06            |       |          |      1|                                                                                                                                                           |
|2019-05-09  04 ->|2019-19|Thu|2019-05-09|04:00:00|04  |db file sequential read           |           143|             2|.04         |.04            |413039 |.35       |      1|/BIC/B0000269000~0,40245,23%;RSSTATMANREQMAP,26659,15%;RSMONMESS,26038,15%;RSSTATMANREQMAP~PT,24455,14%;RSMONMESS~AU1,13793,8%                             |
|2019-05-09  03 ->|2019-19|Thu|2019-05-09|03:00:00|03  |CPU                               |           123|             2|.03         |.03            |       |          |      1|EDIDC,1535584,75%                                                                                                                                          |
|2019-05-09  03 ->|2019-19|Thu|2019-05-09|03:00:00|03  |NETWORK                           |            29|             0|.01         |.01            |72169  |.4        |      1|                                                                                                                                                           |
|2019-05-09  03 ->|2019-19|Thu|2019-05-09|03:00:00|03  |log file sync                     |             9|             0|0           |0              |2004   |4.45      |      1|RSPCLOGCHAIN,2000,42%;TBTCO~9,640,13%;TBTCO~8,592,12%;TBTCO,400,8%;/SOMO/JOBMON14,288,6%                                                                   |
|2019-05-09  03 ->|2019-19|Thu|2019-05-09|03:00:00|03  |OTHER                             |             2|             0|0           |0              |       |          |      1|                                                                                                                                                           |
|2019-05-09  02 ->|2019-19|Thu|2019-05-09|02:00:00|02  |CPU                               |           136|             2|.04         |.04            |       |          |      1|EDIDC,1535568,35%;ICOL$,986752,23%;I_OBJ#,405392,9%;OBJ$,233680,5%                                                                                         |
|2019-05-09  02 ->|2019-19|Thu|2019-05-09|02:00:00|02  |NETWORK                           |            34|             1|.01         |.01            |85211  |.4        |      1|                                                                                                                                                           |
|2019-05-09  02 ->|2019-19|Thu|2019-05-09|02:00:00|02  |log file sync                     |            18|             0|0           |0              |2134   |8.34      |      1|SWNCMONI,12256,65%;SWNCMONI~0,1824,10%                                                                                                                     |
|2019-05-09  02 ->|2019-19|Thu|2019-05-09|02:00:00|02  |OTHER                             |             3|             0|0           |0              |       |          |      1|                                                                                                                                                           |
|2019-05-09  01 ->|2019-19|Thu|2019-05-09|01:00:00|01  |CPU                               |           165|             3|.05         |.05            |       |          |      1|EDIDC,1535584,24%;COL$,1063360,17%;I_OBJ#,472512,7%;SYS_LOB0000078244C00005$$,472064,7%;TBTCP~0,350656,5%                                                  |
|2019-05-09  01 ->|2019-19|Thu|2019-05-09|01:00:00|01  |NETWORK                           |           117|             2|.03         |.03            |291546 |.4        |      1|                                                                                                                                                           |
|2019-05-09  01 ->|2019-19|Thu|2019-05-09|01:00:00|01  |db file sequential read           |            17|             0|0           |0              |70594  |.24       |      1|SYS_LOB0000078244C00005$$,24015,41%;REPOSRC~SPM,12101,21%;REPOSRC,10847,18%;TADIR~DEV,3526,6%                                                              |
